ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio,reversal_candidate_score,final_score
688503.SH,聚和材料,电气设备,-4.2702,-0.1341871921182266,-0.2320866829779797,-0.2437177280550775,5.0,5,-3.492202943114442,6.220043572984759,1069426.421,-0.0044618684430277,67.2640974435565,64.48883694695562
002865.SZ,钧达股份,电气设备,-2.5698,-0.1235259778166959,-0.2072861668426611,-0.2406433340076876,5.0,6,-2.5064935064935123,6.709928617780664,940932.47866,-0.0083328508451169,62.54631105060378,60.197514337281405
300499.SZ,高澜股份,专用机械,-4.0838,-0.104594330400782,-0.2091517375350744,-0.2291184515043131,4.0,2,-5.077720207253888,6.910994764397907,984713.36575,-0.0139312621084934,60.74892635244146,58.073569808639924
002208.SZ,合肥城建,区域地产,1.1137,-0.0624999999999998,-0.146039603960396,-0.3334621329211746,4.0,0,0.2906976744186051,3.634232121922632,1083950.22718,-0.0015576545469182,57.96447240956445,57.48559958320864
002929.SZ,润建股份,通信设备,-3.6885,-0.0939467934712762,-0.2096412556053811,-0.1988636363636363,5.0,5,-1.8242584598245348,7.103825136612025,1672094.86558,-0.0038998983456229,59.63671712136828,57.450690813952605
300042.SZ,朗科科技,IT设备,-2.5899,-0.0690441296205829,-0.2028722810931399,-0.2254437068147947,4.0,2,-4.285953457224167,5.247912761969668,994508.75694,-0.0135367435490688,59.32543365485063,56.82678945006869
600589.SH,大位科技,软件服务,-3.7788,-0.0386740331491712,-0.1919504643962848,-0.2197309417040359,4.0,2,-3.778801843317969,6.267281105990781,1528445.268,-0.0033101021710906,56.92293872331196,55.208672004850314
688409.SH,富创精密,半导体,-5.5877,-0.1051637279596978,-0.1806964944649446,-0.2421333333333333,4.0,2,-5.887807139545675,7.773569862467602,1168018.313,-0.0053877751144471,56.6852601201278,55.148459002781834
300657.SZ,弘信电子,元器件,-1.476,-0.0841527555453921,-0.1809815950920246,-0.2238372093023256,5.0,6,-0.9888751545117592,5.4612546125461225,2375324.28946,-0.0033836390406411,56.4768965826692,55.03317475333653
300762.SZ,上海瀚讯,通信设备,-4.2522,-0.1100055279159756,-0.1883035039072346,-0.2222222222222221,4.0,2,-4.479382972411738,5.114481118049378,1014594.71574,-0.0064952930443694,56.459417894991255,54.67706564509192
300131.SZ,英唐智控,元器件,-3.3947,-0.0641025641025642,-0.164676616915423,-0.2632733655111891,4.0,2,-4.057142857142859,5.178365937859621,1156346.84748,-0.0093956670731425,55.48486895152498,54.148170174982276
000967.SZ,盈峰环境,环境保护,-2.7128,-0.0519598906107566,-0.1950464396284829,-0.2048929663608563,4.0,2,-2.2556390977443663,5.425631431244154,994061.8486,-0.0110861311250608,56.277624179745295,54.097156632780184
603667.SH,五洲新春,机械基件,-4.7798,-0.1245355541319667,-0.215319246669729,-0.1458749999999999,5.0,6,-4.753275717870087,5.936454849498334,1826054.418,-0.0064515218625866,56.41456135682605,53.95900409695349
688123.SH,聚辰股份,半导体,-3.9859,-0.0971642740965985,-0.1782840960288344,-0.2262424242424242,4.0,2,-7.485507246376811,9.89696924118223,1268128.564,0.0012300251285878,54.99299127484132,53.84739013054985
600186.SH,莲花控股,食品,-3.0542,-0.1710193765796124,-0.2389791183294664,-0.1078875793291024,4.0,4,-1.6000000000000014,10.049261083743838,2479704.488,-0.0013322676213989,56.44458311038935,53.65349177108275
