ts_code,name,industry,score,p_rebound,pred_ret,rule_score,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio
688691.SH,灿芯股份,半导体,0.7773938820254215,0.5440915280680486,0.022314801943941368,66.9370102211368,-7.2779,-0.1543103448275862,-0.262406015037594,-0.23633815973844008,4.0,2,-7.878674053901779,9.281663516068047,767103.022,-0.0015626323526594047
688041.SH,海光信息,半导体,0.7603965214404838,0.7524463091521901,0.02581499781716858,40.901437899457285,-6.3083,-0.1307806433283879,-0.16476583353554963,-0.13064342994253964,4.0,4,-8.142909563999057,8.570942497448112,11530629.182,-0.00394326617241137
000988.SZ,华工科技,专用机械,0.7262692297606058,0.6180369415850286,0.021074362987884336,44.96855565198308,-5.8254,-0.1051413560170128,-0.16790740956147499,-0.124525761840656,4.0,2,-7.637185280826342,8.122696155871495,12563483.2696,-0.008419508167448514
300136.SZ,信维通信,元器件,0.7165135494539352,0.46467491214477524,0.023261833486385487,55.547582925630515,-7.2174,-0.1826218967672799,-0.22844137233414818,-0.1856761565836299,3.0,2,-5.53204665084116,7.268119614799784,9185092.23919,-0.012978310603281694
300571.SZ,平治信息,互联网,0.7152060338885944,0.5046651192813357,0.00804842954315723,77.56354250724874,-3.0723,-0.09049049049049052,-0.26961414790996785,-0.2880426265475631,5.0,6,-1.3249348392701976,4.651162790697675,510961.89649,-0.0052071201752557
002149.SZ,西部材料,小金属,0.7053802361323974,0.4627316421808896,0.030407692364371786,52.27941553087594,-5.6777,-0.13643292682926822,-0.19048299514146905,-0.18005500072369385,3.0,2,-3.9830508474576254,7.5424575424575435,2338400.92517,-0.0059618262420018855
002792.SZ,通宇通讯,通信设备,0.6959184533445519,0.4578426030000151,0.022151674533056234,51.50952293965599,-6.0417,-0.13811304156586768,-0.19028925619834713,-0.20603727714748787,4.0,2,-3.7100737100737247,5.010788779669135,1138591.33971,-0.012762673922762459
300903.SZ,科翔股份,元器件,0.6923763618484349,0.47196741874746406,0.019950231387972105,49.245321392982326,-5.5753,-0.10441334768568344,-0.1967173545739802,-0.11324273914201977,4.0,2,-7.747747747747747,9.51908072066959,1853732.34428,-0.011610780847846587
603316.SH,诚邦股份,建筑工程,0.6849647031141574,0.4573873953803347,0.018121174761986946,50.025549206499285,-2.5046,0.007670182166826578,-0.18400621118012428,-0.15139281388776749,4.0,1,-3.6221916552040323,7.235621521335801,1088108.432,-0.0034969584722416673
002865.SZ,钧达股份,电气设备,0.6775473714436439,0.40156865408668635,0.010656494507752,62.54631105060378,-2.5698,-0.12352597781669594,-0.2072861668426611,-0.24064333400768767,5.0,6,-2.5064935064935123,6.709928617780664,940932.47866,-0.008332850845116977
301018.SZ,申菱环境,专用机械,0.6774976322843504,0.4190981197937508,0.016363969488456274,52.588821679414025,-7.2366,-0.12563309873051365,-0.2053918345388247,-0.18557774782502134,4.0,2,-7.693910145128802,9.09281228192603,1480433.3196,-0.013964181788063012
300842.SZ,帝科股份,电气设备,0.6748455460505065,0.45941905040083375,0.016103642267578648,48.72917264037706,-4.0793,-0.13604870879697673,-0.1823961851778263,-0.1389412010880937,4.0,2,-5.964351005484458,7.564102564102558,631491.64204,-0.008718389339587263
300567.SZ,精测电子,电器仪表,0.6730774689733352,0.5514055188934088,0.01601932649197645,42.815543308458686,-5.1339,-0.1218361218361218,-0.17919358431721988,-0.07226306778124691,4.0,2,-6.177429211652075,10.504634397528324,2372394.42176,-0.010173645570323998
603667.SH,五洲新春,机械基件,0.6680723065799608,0.3811955983471104,0.014053970617149657,56.41456135682605,-4.7798,-0.12453555413196671,-0.21531924666972901,-0.14587499999999998,5.0,6,-4.753275717870087,5.936454849498334,1826054.418,-0.0064515218625866766
300042.SZ,朗科科技,IT设备,0.6621032311261772,0.40820450310929546,0.008856304442984915,59.32543365485063,-2.5899,-0.06904412962058293,-0.20287228109313993,-0.22544370681479475,4.0,2,-4.285953457224167,5.247912761969668,994508.75694,-0.013536743549068806
002929.SZ,润建股份,通信设备,0.6552005868798397,0.35208452189806627,0.011489427237180449,59.63671712136828,-3.6885,-0.09394679347127621,-0.20964125560538116,-0.19886363636363635,5.0,5,-1.8242584598245348,7.103825136612025,1672094.86558,-0.003899898345622901
300260.SZ,新莱应材,机械基件,0.6539114823656699,0.382583168036918,0.009683228512630348,57.85287375042388,-3.5384,-0.04924640729057139,-0.2015013246982631,-0.2101048340128131,4.0,2,-3.125,5.654338549075391,685302.88984,-0.012875708144263186
603650.SH,彤程新材,化工原料,0.6427636293668499,0.37859230203805544,0.012625193451326308,52.020968513755456,-2.4722,-0.08929849677881174,-0.17760180995475117,-0.1906806615776082,4.0,2,-2.153432032301472,4.101188194710619,511566.565,-0.0009051021542035261
600699.SH,均胜电子,汽车配件,0.6289876440292712,0.38803412613832694,0.013606500041008949,47.25435633901526,-0.1907,-0.13401720714758425,-0.18877867327960307,-0.09100382077110103,5.0,5,-0.79605761940863,3.623188405797099,1005614.422,-0.003055256500686897
600589.SH,大位科技,软件服务,0.6212821102342937,0.2775240336750847,0.013520174959691923,56.92293872331196,-3.7788,-0.03867403314917128,-0.19195046439628483,-0.21973094170403595,4.0,2,-3.7788018433179693,6.267281105990781,1528445.268,-0.0033101021710906296
