trade_date,equity,ret,turnover
2026-05-06,1061524.5564407844,0.061524556440784105,1.0
2026-05-07,1035771.963561458,-0.024260006726243687,1.0
2026-05-08,1075741.8989711604,0.03858951276521073,1.0
2026-05-11,1095314.701585992,0.01819470138101987,1.0
2026-05-12,1081391.0646550437,-0.012711996753797963,1.0
2026-05-13,1052488.5187422328,-0.02672719135332464,1.0
2026-05-14,1129094.7966401496,0.07278585612455339,1.0
2026-05-15,1083674.0690843144,-0.040227559006554316,1.0
2026-05-18,1145938.2333935827,0.057456541672054946,1.0
2026-05-19,1170648.5487166615,0.02156339199007385,1.0
2026-05-20,1166156.854468924,-0.003836928045280122,1.0
2026-05-21,1143030.2628375986,-0.019831458815081443,1.0
2026-05-22,1153787.6028894507,0.009411246929846488,1.0
2026-05-25,1102991.3617272696,-0.044025643051607756,1.0
2026-05-26,1080666.5522674718,-0.020240239619680533,1.0
