trade_date,codes,ret
2026-05-06,603095.SH 001266.SZ 688531.SH,0.061524556440784105
2026-05-07,600379.SH 300632.SZ 002210.SZ,-0.024260006726243687
2026-05-08,600379.SH 001234.SZ 600736.SH,0.03858951276521073
2026-05-11,001234.SZ 300283.SZ 600736.SH,0.01819470138101987
2026-05-12,001234.SZ 600770.SH 300828.SZ,-0.012711996753797963
2026-05-13,688350.SH 300292.SZ 002066.SZ,-0.02672719135332464
2026-05-14,688581.SH 300632.SZ 301538.SZ,0.07278585612455339
2026-05-15,600379.SH 001210.SZ 603070.SH,-0.040227559006554316
2026-05-18,001210.SZ 300632.SZ 002971.SZ,0.057456541672054946
2026-05-19,688549.SH 002971.SZ 003001.SZ,0.02156339199007385
2026-05-20,688507.SH 603311.SH 003001.SZ,-0.003836928045280122
2026-05-21,301322.SZ 603206.SH 003001.SZ,-0.019831458815081443
2026-05-22,301322.SZ 301020.SZ 688729.SH,0.009411246929846488
2026-05-25,600611.SH 002442.SZ 605500.SH,-0.044025643051607756
2026-05-26,300069.SZ 001225.SZ 002442.SZ,-0.020240239619680533
