tag,source,direction,months,mean_ic,median_ic,pos_ic_rate,mean_top10_bp,median_top10_bp,pos_top10_rate
lstm_ic_final_h384_l2_w20,may_no_future_censor,forward,1,-0.054670368782417295,-0.054670368782417295,0.0,-71.57052138791187,-71.57052138791187,0.0
lstm_ic_final_h384_l2_w20,may_no_future_censor,inverse,1,0.054670368782417295,0.054670368782417295,1.0,-57.15602122654673,-57.15602122654673,0.0
lstm_ic_final_h384_l2_w20,pre_may_default_censor,forward,1,0.04714953301720117,0.04714953301720117,1.0,13.443651990382929,13.443651990382929,1.0
lstm_ic_final_h384_l2_w20,pre_may_default_censor,inverse,1,-0.04714953301720117,-0.04714953301720117,0.0,-124.88976863678546,-124.88976863678546,0.0
lstm_ic_h256_l3_w40,may_no_future_censor,forward,1,-0.047726372062765726,-0.047726372062765726,0.0,-94.06845723788138,-94.06845723788138,0.0
lstm_ic_h256_l3_w40,may_no_future_censor,inverse,1,0.047726372062765726,0.047726372062765726,1.0,-29.92695501598063,-29.92695501598063,0.0
lstm_ic_h256_l3_w40,pre_may_default_censor,forward,15,0.09151661988074283,0.09061992862088782,1.0,6.221930582054361,5.7313001772854495,0.6
lstm_ic_h256_l3_w40,pre_may_default_censor,inverse,15,-0.09151661988074283,-0.09061992862088782,0.0,-144.77146267530568,-150.9566002392343,0.0
lstm_ic_h384_l2_w20,may_no_future_censor,forward,1,-0.053009816132149834,-0.053009816132149834,0.0,-61.11251907623227,-61.11251907623227,0.0
lstm_ic_h384_l2_w20,may_no_future_censor,inverse,1,0.053009816132149834,0.053009816132149834,1.0,-75.02565284084994,-75.02565284084994,0.0
lstm_ic_h384_l2_w20,pre_may_default_censor,forward,15,0.09787479675328598,0.09210647666009324,1.0,15.224265140697385,15.544451928387081,0.7333333333333333
lstm_ic_h384_l2_w20,pre_may_default_censor,inverse,15,-0.09787479675328598,-0.09210647666009324,0.0,-155.602128524629,-150.97214283887294,0.0
lstm_ic_h384_l3_w20,may_no_future_censor,forward,1,-0.047732990262720765,-0.047732990262720765,0.0,-63.645638883826905,-63.645638883826905,0.0
lstm_ic_h384_l3_w20,may_no_future_censor,inverse,1,0.047732990262720765,0.047732990262720765,1.0,-57.58855080784997,-57.58855080784997,0.0
lstm_ic_h384_l3_w20,pre_may_default_censor,forward,15,0.09718382543762089,0.09184727210238908,1.0,2.6136555891838054,-0.7253117434194546,0.4
lstm_ic_h384_l3_w20,pre_may_default_censor,inverse,15,-0.09718382543762089,-0.09184727210238908,0.0,-141.15472539551874,-138.19841659971556,0.0
lstm_ic_large,may_no_future_censor,forward,1,-0.055187056087772295,-0.055187056087772295,0.0,-29.125307682079438,-29.125307682079438,0.0
lstm_ic_large,may_no_future_censor,inverse,1,0.055187056087772295,0.055187056087772295,1.0,-47.60475227521965,-47.60475227521965,0.0
lstm_ic_large,pre_may_default_censor,forward,15,0.09808351766980512,0.09191388487279105,1.0,10.955051490716953,12.372490309644494,0.7333333333333333
lstm_ic_large,pre_may_default_censor,inverse,15,-0.09808351766980512,-0.09191388487279105,0.0,-156.07289805664894,-149.3024583289619,0.0
